# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  32 0.371951 129.877 303.559
  33 0.384146 130.524 302.863
  34 0.396341 140.953 301.623
  35 0.408537 127.53 301.026
  36 0.420732 124.398 301.131
  37 0.432927 134.975 299.905
  38 0.445122 126.269 299.298
  39 0.457317 136.19 297.206
  40 0.469512 150.591 296.062
  41 0.481707 147.8 295.191
  42 0.493902 131.275 295.111
  43 0.506098 123.333 294.646
  44 0.518293 140.29 293.316
  45 0.530488 147.858 293.284
  46 0.542683 135.2 292.483
  47 0.554878 119.412 291.273
  48 0.567073 130.185 290.79
  49 0.579268 145.64 290.143
  50 0.591463 138.952 289.617
  51 0.603659 126.012 289.127
  52 0.615854 130.302 288.908
  53 0.628049 126.535 287.97
  54 0.640244 129.951 287.604
  55 0.652439 122.838 286.602
  56 0.664634 130.545 285.224
  57 0.676829 143.03 284.39
  58 0.689024 146.668 285.176
  59 0.70122 139.527 284.369
  60 0.713415 128.318 284.34
  61 0.72561 136.828 283.819
  62 0.737805 129.326 283.484
  63 0.75 134.046 283.24
  64 0.762195 137.717 283.405
  65 0.77439 119.689 282.304
  66 0.786585 128.563 281.211
  67 0.79878 144.925 281.188
  68 0.810976 150.26 280.386
  69 0.823171 132.525 279.644
  70 0.835366 129.008 279.159
  71 0.847561 134.21 278.896
  72 0.859756 142.404 278.307
  73 0.871951 142.667 278.231
  74 0.884146 120.472 278.147
  75 0.896341 126.63 278.195
  76 0.908537 141.832 74.2513
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
14000000 84 10944
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.06 0.159092
  9 0.0914634 130.542 108.448
  10 0.103659 135.509 318.04
  11 0.115854 126.057 317.995
  12 0.128049 145.701 318.031
  13 0.140244 148.708 318.185
  14 0.152439 129.921 318.162
  15 0.164634 133.968 317.514
  16 0.176829 128.197 316.801
  17 0.189024 145.116 316.193
  18 0.20122 136.439 315.062
  19 0.213415 124.336 314.027
  20 0.22561 116.245 312.284
  21 0.237805 130.667 312.688
  22 0.25 138.414 313.187
  23 0.262195 124.33 313.394
  24 0.27439 128.524 312.87
  25 0.286585 127.426 312.884
  26 0.29878 128.958 311.984
  27 0.310976 126.242 311.509
  28 0.323171 124.754 308.901
  29 0.335366 126.842 307.315
  30 0.347561 145.156 306.557
  31 0.359756 143.781 306.028
  32 0.371951 135.299 305.719
  33 0.384146 130.016 304.926
  34 0.396341 135.769 304.925
  35 0.408537 129.879 304.397
  36 0.420732 125.281 303.355
  37 0.432927 133.302 302.39
  38 0.445122 129.296 301.471
  39 0.457317 141.594 300.785
  40 0.469512 151.66 300.129
  41 0.481707 142.426 299.27
  42 0.493902 129.326 298.394
  43 0.506098 126.829 298.17
  44 0.518293 137.169 296.97
  45 0.530488 142.256 296.895
  46 0.542683 139.543 296.621
  47 0.554878 120.789 295.652
  48 0.567073 129.442 294.091
  49 0.579268 141.267 293.161
  50 0.591463 142.051 292.694
  51 0.603659 132.283 291.689
  52 0.615854 125.084 290.698
  53 0.628049 131.246 289.373
  54 0.640244 130.371 289.014
  55 0.652439 126.394 288.495
  56 0.664634 128.701 289.296
  57 0.676829 141.866 289.682
  58 0.689024 147.654 289.485
  59 0.70122 139.51 288.889
  60 0.713415 131.282 287.926
  61 0.72561 135.062 287.708
  62 0.737805 127.235 286.567
  63 0.75 135.169 285.528
  64 0.762195 133.943 285.255
  65 0.77439 121.901 283.826
  66 0.786585 126.32 283.175
  67 0.79878 142.954 281.656
  68 0.810976 151.038 281.122
  69 0.823171 135.054 279.828
